Rang,Modèle,Tendance MACD (%),Corrélation MACD,MAE MACD,RMSE MACD,Tendance Stoch (%),Corrélation Stoch,MAE Stoch,RMSE Stoch,Score combiné
1,Transformer,50.0,-0.3304,19.8562,23.849,57.1,0.8066,16.5271,21.4424,0.4695
2,GRU,42.9,-0.0461,13.5111,14.5477,57.1,0.8457,18.0921,23.2544,0.4614
3,Ensemble,42.9,-0.416,13.476,16.3919,57.1,0.8321,17.8232,23.1288,0.458
4,LSTM,35.7,-0.778,33.4137,34.0757,57.1,0.8262,19.7594,25.1028,0.4387
5,ARIMA,7.1,-0.8793,8.6816,9.7342,35.7,0.1138,51.988,57.1728,0.1356
6,Baseline,7.1,-0.9748,7.6974,8.7858,42.9,-0.6983,46.748,52.5319,0.125
